Date,Receipt Number,Line Type,Customer Code,Customer Name,Note,Quantity,Subtotal,Sales Tax,Discount,Loyalty,Total,Paid,Details,Register,User,Status,Sku,AccountCodeSale,AccountCodePurchase,State,Attributes
2026-09-05 15:37:11,170,Sale,WALKIN,,,4,52.67,4.61,9.29400,0.00000,57.28,,"1 X Bistro Glass Salt Cellar + 1 X Brass Olive Spoon + 1 X Small Stoneware Dish- 3"" + 1 X Flower bowls set of 4",Main Register,bparedes@pepperandolive.com,CLOSED,,,,closed,
2026-09-05 15:37:11,170,Sale Line,,,,1.00000,16.14150,1.41238,2.84850,0.00000,17.55388,,Bistro Glass Salt Cellar,,,,GMN710U,,,,
2026-09-05 15:37:11,170,Sale Line,,,,1.00000,10.19150,0.89176,1.79850,0.00000,11.08326,,Brass Olive Spoon,,,,DA9853,,,,
2026-09-05 15:37:11,170,Sale Line,,,,1.00000,5.09150,0.44551,0.89850,0.00000,5.53701,,"Small Stoneware Dish- 3""",,,,ah4235,,,,
2026-09-05 15:37:11,170,Sale Line,,,,1.00000,21.24150,1.85863,3.74850,0.00000,23.10013,,Flower bowls set of 4,,,,DF6034,,,,
2026-09-05 15:36:40,170,Payment,,,,,,,,,,57.27000,Lightspeed Payments,,,,,,,,
2026-09-05 14:00:49,169,Sale,WALKIN,,,4,216.72,18.96,38.24400,0.00000,235.68,,"1 X CUSTOM PILLOWS + 1 X Pillow Inserts (Multiple Sizes) + 1 X Petrified Wood - Light + 1 X Le Cirq Easel Small, Black",Main Register,bparedes@pepperandolive.com,CLOSED,,,,closed,
2026-09-05 14:00:49,169,Sale Line,,,,1.00000,93.49150,8.18051,16.49850,0.00000,101.67201,,CUSTOM PILLOWS / 109.99,,,,10088,,,,
2026-09-05 14:00:49,169,Sale Line,,,,1.00000,16.99150,1.48676,2.99850,0.00000,18.47826,,"Pillow Inserts (Multiple Sizes) / ""16 x 23""",,,,10141,,,,
2026-09-05 14:00:49,169,Sale Line,,,,1.00000,72.24150,6.32113,12.74850,0.00000,78.56263,,Petrified Wood - Light,,,,10302,,,,
2026-09-05 14:00:49,169,Sale Line,,,,1.00000,33.99150,2.97426,5.99850,0.00000,36.96576,,"Le Cirq Easel Small, Black",,,,MJ219BK,,,,
2026-09-05 14:00:29,169,Payment,,,,,,,,,,235.68000,Lightspeed Payments,,,,,,,,
2026-09-05 12:42:00,168,Sale,WALKIN,,,2,11.03,0.97,1.94700,0.00000,12,,1 X 1st Edition Notecards + 1 X Sugarboo & Co - Leather Heart Keychain,Main Register,bparedes@pepperandolive.com,CLOSED,,,,closed,
2026-09-05 12:42:00,168,Sale Line,,,,1.00000,3.39150,0.29676,0.59850,0.00000,3.68826,,1st Edition Notecards,,,,PP482,,,,
2026-09-05 12:42:00,168,Sale Line,,,,1.00000,7.64150,0.66863,1.34850,0.00000,8.31013,,Sugarboo & Co - Leather Heart Keychain,,,,LC106,,,,
2026-09-05 12:41:51,168,Payment,,,,,,,,,,12.00000,Lightspeed Payments,,,,,,,,
2026-09-05 11:10:41,167,Sale,WALKIN,,,4,39.92,3.49,7.04400,0.00000,43.41,,"1 X FOUND: Vintage Meat Tenderizer + 1 X Fodory - Vintage Farmhouse Wooden Brush + 1 X all natural dish soap-rosemary mint + 1 X Cast Iron Mouse, 3 Styles",Main Register,shannon@pepperandolive.com,CLOSED,,,,closed,
2026-09-05 11:10:41,167,Sale Line,,,,1.00000,8.49150,0.74301,1.49850,0.00000,9.23451,,FOUND: Vintage Meat Tenderizer,,,,10230,,,,
2026-09-05 11:10:41,167,Sale Line,,,,1.00000,7.64150,0.66863,1.34850,0.00000,8.31013,,Fodory - Vintage Farmhouse Wooden Brush / A,,,,CL-BR-WD-SI-046,,,,
2026-09-05 11:10:41,167,Sale Line,,,,1.00000,16.99150,1.48676,2.99850,0.00000,18.47826,,all natural dish soap-rosemary mint,,,,10184,,,,
2026-09-05 11:10:41,167,Sale Line,,,,1.00000,6.79150,0.59426,1.19850,0.00000,7.38576,,"Cast Iron Mouse, 3 Styles",,,,DE0391A,,,,
2026-09-05 11:10:36,167,Payment,,,,,,,,,,43.41000,Lightspeed Payments,,,,,,,,
2026-09-05 11:09:02,166,Sale,WALKIN,,,2,46.73,4.09,8.24700,0.00000,50.82,,1 X Stoneware Bowl - Coconut + 1 X Penguin Random House LLC - Sunday Suppers,Main Register,shannon@pepperandolive.com,CLOSED,,,,closed,
2026-09-05 11:09:02,166,Sale Line,,,,1.00000,14.44150,1.26363,2.54850,0.00000,15.70513,,Stoneware Bowl - Coconut,,,,10234,,,,
2026-09-05 11:09:02,166,Sale Line,,,,1.00000,32.29150,2.82551,5.69850,0.00000,35.11701,,Penguin Random House LLC - Sunday Suppers,,,,9780385,,,,
2026-09-05 11:08:45,166,Payment,,,,,,,,,,50.82000,Lightspeed Payments,,,,,,,,
2026-09-04 16:01:40,165,Sale,WALKIN,,,5,91.76,8.03,16.19250,0.00000,99.79,,1 X Found Decorative Wood Bread Board with Handle (Each One Will Vary) + 1 X Stoneware Bowl - Tavern Taupe + 1 X Stoneware Bowl - Tavern Taupe + 1 X Stoneware Bowl - Vintage Brown + 1 X Stoneware Bowl - Vintage Brown,Main Register,bparedes@pepperandolive.com,CLOSED,,,,closed,
2026-09-04 16:01:40,165,Sale Line,,,,1.00000,33.99150,2.97426,5.99850,0.00000,36.96576,,Found Decorative Wood Bread Board with Handle (Each One Will Vary),,,,DG0034,,,,
2026-09-04 16:01:40,165,Sale Line,,,,1.00000,14.44150,1.26363,2.54850,0.00000,15.70513,,Stoneware Bowl - Tavern Taupe,,,,10233,,,,
2026-09-04 16:01:40,165,Sale Line,,,,1.00000,14.44150,1.26363,2.54850,0.00000,15.70513,,Stoneware Bowl - Tavern Taupe,,,,10233,,,,
2026-09-04 16:01:40,165,Sale Line,,,,1.00000,14.44150,1.26363,2.54850,0.00000,15.70513,,Stoneware Bowl - Vintage Brown,,,,10232,,,,
2026-09-04 16:01:40,165,Sale Line,,,,1.00000,14.44150,1.26363,2.54850,0.00000,15.70513,,Stoneware Bowl - Vintage Brown,,,,10232,,,,
2026-09-04 16:01:27,165,Payment,,,,,,,,,,99.79000,Lightspeed Payments,,,,,,,,
2026-09-04 13:15:30,164,Sale,WALKIN,,,5,186.96,16.36,32.99250,0.00000,203.32,,"1 X Food Safe Wood Board Wax, Beeswax and Coconut Oil, Rosemary and Sage + 1 X large brass duck - FOUND + 1 X 1st Edition Notecards + 1 X 1st Edition Notecards + 1 X 1st Edition Notecards",Main Register,bparedes@pepperandolive.com,CLOSED,,,,closed,
2026-09-04 13:15:30,164,Sale Line,,,,1.00000,23.79150,2.08176,4.19850,0.00000,25.87326,,"Food Safe Wood Board Wax, Beeswax and Coconut Oil, Rosemary and Sage",,,,REY600,,,,
2026-09-04 13:15:30,164,Sale Line,,,,1.00000,152.99150,13.38676,26.99850,0.00000,166.37826,,large brass duck - FOUND,,,,10127,,,,
2026-09-04 13:15:30,164,Sale Line,,,,1.00000,3.39150,0.29676,0.59850,0.00000,3.68826,,1st Edition Notecards,,,,PP482,,,,
2026-09-04 13:15:30,164,Sale Line,,,,1.00000,3.39150,0.29676,0.59850,0.00000,3.68826,,1st Edition Notecards,,,,PP482,,,,
2026-09-04 13:15:30,164,Sale Line,,,,1.00000,3.39150,0.29676,0.59850,0.00000,3.68826,,1st Edition Notecards,,,,PP482,,,,
2026-09-04 13:15:20,164,Payment,,,,,,,,,,203.32000,Lightspeed Payments,,,,,,,,
2026-09-04 10:48:03,163,Sale,WALKIN,,,-3,-28.02,-2.45,-4.94550,0.00000,-30.47,,"-1 X Sugarboo & Co - Leather Heart Keychain + -1 X Hinged Brass Candle Snuffer- Vintage Style | 7"" | Candles + -1 X Cast Iron Bee Bottle Opener, Distressed Gold Finish",Main Register,eric@pepperandolive.com,VOIDED,,,,voided,
2026-09-04 10:48:03,163,Sale Line,,,,-1.00000,-7.64150,-0.66863,-1.34850,0.00000,-8.31013,,Sugarboo & Co - Leather Heart Keychain,,,,LC106,,,,
2026-09-04 10:48:03,163,Sale Line,,,,-1.00000,-13.59150,-1.18926,-2.39850,0.00000,-14.78076,,"Hinged Brass Candle Snuffer- Vintage Style | 7"" | Candles",,,,5885,,,,
2026-09-04 10:48:03,163,Sale Line,,,,-1.00000,-6.79150,-0.59426,-1.19850,0.00000,-7.38576,,"Cast Iron Bee Bottle Opener, Distressed Gold Finish",,,,DF9261,,,,
2026-09-04 10:46:03,162,Sale,WALKIN,,,16,303.82,26.58,53.61600,0.00000,330.4,,"1 X Halloween Bat on Stand (Set of 2) + 1 X Floral Flower Frog Tall + 1 X Aden Cotton Hand Towel | Handwoven in Ethiopia + 1 X Turkish Cotton Hand Towel, Multi Stripe - Black + 1 X Simple Stripe Oven Mitt + 1 X Simple Stripe Oven Mitt + 1 X Handmade Amish Black Hand Broom | Oak & Natural Straw + 1 X Woven Cotton Slub Tea Towel with Stripes, 3 Styles + 1 X Ivy Catchall Plate + 1 X Pinch Bowl Ceramic + 1 X Pinch Bowl Ceramic + 1 X Pinch Bowl Ceramic + 1 X Pinch Bowl Ceramic + 1 X Match - Darling Paper Rose + 1 X Flower bowls set of 4 + 1 X Marble Rings",Main Register,bparedes@pepperandolive.com,CLOSED,,,,closed,
2026-09-04 10:46:03,162,Sale Line,,,,1.00000,50.99150,4.46176,8.99850,0.00000,55.45326,,Halloween Bat on Stand (Set of 2),,,,6T2756S,,,,
2026-09-04 10:46:03,162,Sale Line,,,,1.00000,53.54150,4.68488,9.44850,0.00000,58.22638,,Floral Flower Frog Tall,,,,DV854T,,,,
2026-09-04 10:46:03,162,Sale Line,,,,1.00000,32.29150,2.82551,5.69850,0.00000,35.11701,,Aden Cotton Hand Towel | Handwoven in Ethiopia / Beige with natural,,,,SBHTSBG,,,,
2026-09-04 10:46:03,162,Sale Line,,,,1.00000,12.74150,1.11488,2.24850,0.00000,13.85638,,"Turkish Cotton Hand Towel, Multi Stripe - Black",,,,10289,,,,
2026-09-04 10:46:03,162,Sale Line,,,,1.00000,9.34150,0.81738,1.64850,0.00000,10.15888,,Simple Stripe Oven Mitt,,,,OMSripe,,,,
2026-09-04 10:46:03,162,Sale Line,,,,1.00000,9.34150,0.81738,1.64850,0.00000,10.15888,,Simple Stripe Oven Mitt,,,,OMSripe,,,,
2026-09-04 10:46:03,162,Sale Line,,,,1.00000,41.64150,3.64363,7.34850,0.00000,45.28513,,Handmade Amish Black Hand Broom | Oak & Natural Straw / Black,,,,SKU0001,,,,
2026-09-04 10:46:03,162,Sale Line,,,,1.00000,11.04150,0.96613,1.94850,0.00000,12.00763,,"Woven Cotton Slub Tea Towel with Stripes, 3 Styles",,,,DG1572A,,,,
2026-09-04 10:46:03,162,Sale Line,,,,1.00000,28.04150,2.45363,4.94850,0.00000,30.49513,,Ivy Catchall Plate,,,,10026,,,,
2026-09-04 10:46:03,162,Sale Line,,,,1.00000,4.24150,0.37113,0.74850,0.00000,4.61263,,Pinch Bowl Ceramic,,,,10236,,,,
2026-09-04 10:46:03,162,Sale Line,,,,1.00000,4.24150,0.37113,0.74850,0.00000,4.61263,,Pinch Bowl Ceramic,,,,10236,,,,
2026-09-04 10:46:03,162,Sale Line,,,,1.00000,4.24150,0.37113,0.74850,0.00000,4.61263,,Pinch Bowl Ceramic,,,,10236,,,,
2026-09-04 10:46:03,162,Sale Line,,,,1.00000,4.24150,0.37113,0.74850,0.00000,4.61263,,Pinch Bowl Ceramic,,,,10236,,,,
2026-09-04 10:46:03,162,Sale Line,,,,1.00000,3.90150,0.34138,0.68850,0.00000,4.24288,,Match - Darling Paper Rose,,,,0901567,,,,
2026-09-04 10:46:03,162,Sale Line,,,,1.00000,21.24150,1.85863,3.74850,0.00000,23.10013,,Flower bowls set of 4,,,,DF6034,,,,
2026-09-04 10:46:03,162,Sale Line,,,,1.00000,12.74150,1.11488,2.24850,0.00000,13.85638,,Marble Rings,,,,10250,,,,
2026-09-04 10:45:54,162,Payment,,,,,,,,,,330.41000,Lightspeed Payments,,,,,,,,
2026-09-04 10:24:33,161,Sale,WALKIN,,,3,28.02,2.45,4.94550,0.00000,30.47,,"1 X Cast Iron Bee Bottle Opener, Distressed Gold Finish + 1 X Hinged Brass Candle Snuffer- Vintage Style | 7"" | Candles + 1 X Sugarboo & Co - Leather Heart Keychain",Main Register,bparedes@pepperandolive.com,CLOSED,,,,closed,
2026-09-04 10:24:33,161,Sale Line,,,,1.00000,6.79150,0.59426,1.19850,0.00000,7.38576,,"Cast Iron Bee Bottle Opener, Distressed Gold Finish",,,,DF9261,,,,
2026-09-04 10:24:33,161,Sale Line,,,,1.00000,13.59150,1.18926,2.39850,0.00000,14.78076,,"Hinged Brass Candle Snuffer- Vintage Style | 7"" | Candles",,,,5885,,,,
2026-09-04 10:24:33,161,Sale Line,,,,1.00000,7.64150,0.66863,1.34850,0.00000,8.31013,,Sugarboo & Co - Leather Heart Keychain,,,,LC106,,,,
2026-09-04 10:24:22,161,Payment,,,,,,,,,,30.48000,Lightspeed Payments,,,,,,,,
2026-09-03 15:13:27,160,Sale,WALKIN,,,2,15.98,1.40,0.00000,0.00000,17.38,,"1 X Cast Iron Bee Bottle Opener, Distressed Gold Finish + 1 X Cast Iron Bee Bottle Opener, Distressed Gold Finish",Main Register,shannon@pepperandolive.com,CLOSED,,,,closed,
2026-09-03 15:13:27,160,Sale Line,,,,1.00000,7.99000,0.69913,0.00000,0.00000,8.68913,,"Cast Iron Bee Bottle Opener, Distressed Gold Finish",,,,DF9261,,,,
2026-09-03 15:13:27,160,Sale Line,,,,1.00000,7.99000,0.69913,0.00000,0.00000,8.68913,,"Cast Iron Bee Bottle Opener, Distressed Gold Finish",,,,DF9261,,,,
2026-09-03 15:13:11,160,Payment,,,,,,,,,,17.38000,Lightspeed Payments,,,,,,,,
2026-09-03 14:52:51,159,Sale,WALKIN,,,4,103.96,9.10,0.00000,0.00000,113.06,,"1 X Handmade Terracotta candles - Megah Box of 6 + 1 X Food Safe Wood Board Wax, Beeswax and Coconut Oil, Rosemary and Sage + 1 X Sugarboo & Co - Mini Dreams And Schemes Leather Journal - Honey + 1 X Baking",Main Register,shannon@pepperandolive.com,CLOSED,,,,closed,
2026-09-03 14:52:51,159,Sale Line,,,,1.00000,22.99000,2.01163,0.00000,0.00000,25.00163,,Handmade Terracotta candles - Megah Box of 6,,,,DGC109,,,,
2026-09-03 14:52:51,159,Sale Line,,,,1.00000,27.99000,2.44913,0.00000,0.00000,30.43913,,"Food Safe Wood Board Wax, Beeswax and Coconut Oil, Rosemary and Sage",,,,REY600,,,,
2026-09-03 14:52:51,159,Sale Line,,,,1.00000,24.99000,2.18663,0.00000,0.00000,27.17663,,Sugarboo & Co - Mini Dreams And Schemes Leather Journal - Honey,,,,LJ222H,,,,
2026-09-03 14:52:51,159,Sale Line,,,,1.00000,27.99000,2.44913,0.00000,0.00000,30.43913,,Baking,,,,10335,,,,
2026-09-03 14:52:45,159,Payment,,,,,,,,,,113.06000,Lightspeed Payments,,,,,,,,
2026-09-03 12:28:03,158,Sale,WALKIN,,,1,4.59,0.40,0.00000,0.00000,4.99,,1 X Match - Congrats,Main Register,shannon@pepperandolive.com,CLOSED,,,,closed,
2026-09-03 12:28:03,158,Sale Line,,,,1.00000,4.59000,0.40163,0.00000,0.00000,4.99163,,Match - Congrats,,,,0901538,,,,
2026-09-03 12:27:56,158,Payment,,,,,,,,,,4.99000,Lightspeed Payments,,,,,,,,
2026-09-03 12:27:00,157,Sale,WALKIN,,,7,92.89,8.13,0.00000,0.00000,101.02,,"1 X Bookkeepers Clip on Stand, Metal - Lrg - Black + 1 X Fodory - Vintage Farmhouse Wooden Brush + 1 X Wood and Stainless Steel Cheese Grater + 1 X 1st Edition Notecards + 1 X Porter Lane Home - Custom Fall Pattern Tea Towel + 1 X 1st Edition Notecards + 1 X 1st Edition Notecards",Main Register,shannon@pepperandolive.com,CLOSED,,,,closed,
2026-09-03 12:27:00,157,Sale Line,,,,1.00000,26.99000,2.36163,0.00000,0.00000,29.35163,,"Bookkeepers Clip on Stand, Metal - Lrg - Black",,,,5191-2,,,,
2026-09-03 12:27:00,157,Sale Line,,,,1.00000,8.99000,0.78663,0.00000,0.00000,9.77663,,Fodory - Vintage Farmhouse Wooden Brush / A,,,,CL-BR-WD-SI-046,,,,
2026-09-03 12:27:00,157,Sale Line,,,,1.00000,28.99000,2.53663,0.00000,0.00000,31.52663,,Wood and Stainless Steel Cheese Grater,,,,AH0504,,,,
2026-09-03 12:27:00,157,Sale Line,,,,1.00000,3.99000,0.34913,0.00000,0.00000,4.33913,,1st Edition Notecards,,,,PP482,,,,
2026-09-03 12:27:00,157,Sale Line,,,,1.00000,15.95000,1.39563,0.00000,0.00000,17.34563,,Porter Lane Home - Custom Fall Pattern Tea Towel / White,,,,TT-AC8114CW,,,,
2026-09-03 12:27:00,157,Sale Line,,,,1.00000,3.99000,0.34913,0.00000,0.00000,4.33913,,1st Edition Notecards,,,,PP482,,,,
2026-09-03 12:27:00,157,Sale Line,,,,1.00000,3.99000,0.34913,0.00000,0.00000,4.33913,,1st Edition Notecards,,,,PP482,,,,
2026-09-03 12:26:48,157,Payment,,,,,,,,,,101.02000,Lightspeed Payments,,,,,,,,
2026-09-02 15:45:58,156,Sale,WALKIN,,,1,29.99,2.62,0.00000,0.00000,32.61,,"1 X Kitchen Tea Towel, Vintage Navy Blue Stripe, Set of 2",Main Register,bparedes@pepperandolive.com,CLOSED,,,,closed,
2026-09-02 15:45:58,156,Sale Line,,,,1.00000,29.99000,2.62413,0.00000,0.00000,32.61413,,"Kitchen Tea Towel, Vintage Navy Blue Stripe, Set of 2",,,,QMN103U,,,,
2026-09-02 15:45:41,156,Payment,,,,,,,,,,32.61000,Lightspeed Payments,,,,,,,,
2026-09-02 12:42:09,155,Sale,WALKIN,,,2,49.98,4.37,0.00000,0.00000,54.35,,1 X Quiet Mind · Rosemary & Sage Spa Candle · Amber Jar 8oz + 1 X White Stone Candles,Main Register,bparedes@pepperandolive.com,CLOSED,,,,closed,
2026-09-02 12:42:09,155,Sale Line,,,,1.00000,24.99000,2.18663,0.00000,0.00000,27.17663,,Quiet Mind · Rosemary & Sage Spa Candle · Amber Jar 8oz,,,,SCS18AJ,,,,
2026-09-02 12:42:09,155,Sale Line,,,,1.00000,24.99000,2.18663,0.00000,0.00000,27.17663,,White Stone Candles / Farmers Market,,,,10200,,,,
2026-09-02 12:42:03,155,Payment,,,,,,,,,,54.35000,Lightspeed Payments,,,,,,,,
2026-09-02 11:56:31,154,Sale,WALKIN,,,1,24.99,2.19,0.00000,0.00000,27.18,,1 X White Stone Candles,Main Register,bparedes@pepperandolive.com,CLOSED,,,,closed,
2026-09-02 11:56:31,154,Sale Line,,,,1.00000,24.99000,2.18663,0.00000,0.00000,27.17663,,White Stone Candles / Oak Moss and Tobacco,,,,10202,,,,
2026-09-02 11:56:21,154,Payment,,,,,,,,,,27.18000,Lightspeed Payments,,,,,,,,
2026-08-31 12:22:23,153,Sale,WALKIN,,,4,50.39,4.41,0.00000,0.00000,54.8,,"3 X Ragon House - 41"" CREAM CASPIA SPRAY + 1 X Sugarboo & Co - Leather Heart Keychain",Main Register,shannon@pepperandolive.com,CLOSED,,,,closed,
2026-08-31 12:22:23,153,Sale Line,,,,3.00000,41.40000,3.62250,0.00000,0.00000,45.02250,,"Ragon House - 41"" CREAM CASPIA SPRAY",,,,G233538,,,,
2026-08-31 12:22:23,153,Sale Line,,,,1.00000,8.99000,0.78663,0.00000,0.00000,9.77663,,Sugarboo & Co - Leather Heart Keychain,,,,LC106,,,,
2026-08-31 12:22:18,153,Payment,,,,,,,,,,54.80000,Lightspeed Payments,,,,,,,,
2026-08-31 12:21:30,152,Sale,WALKIN,,,2,99.98,8.75,0.00000,0.00000,108.73,,1 X Pillow Inserts (Multiple Sizes) + 1 X CUSTOM PILLOWS,Main Register,shannon@pepperandolive.com,CLOSED,,,,closed,
2026-08-31 12:21:30,152,Sale Line,,,,1.00000,19.99000,1.74913,0.00000,0.00000,21.73913,,"Pillow Inserts (Multiple Sizes) / 26""x26""",,,,10144,,,,
2026-08-31 12:21:30,152,Sale Line,,,,1.00000,79.99000,6.99913,0.00000,0.00000,86.98913,,CUSTOM PILLOWS / 79.99,,,,10082,,,,
2026-08-31 12:21:20,152,Payment,,,,,,,,,,108.73000,Lightspeed Payments,,,,,,,,
2026-08-30 12:15:56,151,Sale,WALKIN,,,16,239.84,20.99,0.00000,0.00000,260.83,,"1 X Cleo Forged Iron Spoons S/3 + 1 X Cleo Forged Iron Spoons S/3 + 1 X Stoneware Butter Dish with Scalloped Handle (Each One Will Vary) + 1 X Wood and Stainless Steel Cheese Grater + 1 X Flower bowls set of 4 + 1 X Food Safe Wood Board Wax, Beeswax and Coconut Oil, Rosemary and Sage + 1 X FOUND: Ceramic Pot + 1 X 1st Edition Notecards + 1 X Friendship Notecards - Assorted Set of 20 + 1 X 1st Edition Notecards + 1 X 1st Edition Notecards + 1 X 1st Edition Notecards + 1 X Friendship Notecards - Assorted Set of 20 + 1 X 1st Edition Notecards + 1 X 1st Edition Notecards + 1 X 1st Edition Notecards",Main Register,bparedes@pepperandolive.com,CLOSED,,,,closed,
2026-08-30 12:15:56,151,Sale Line,,,,1.00000,29.99000,2.62413,0.00000,0.00000,32.61413,,Cleo Forged Iron Spoons S/3,,,,4-6313,,,,
2026-08-30 12:15:56,151,Sale Line,,,,1.00000,29.99000,2.62413,0.00000,0.00000,32.61413,,Cleo Forged Iron Spoons S/3,,,,4-6313,,,,
2026-08-30 12:15:56,151,Sale Line,,,,1.00000,36.99000,3.23663,0.00000,0.00000,40.22663,,Stoneware Butter Dish with Scalloped Handle (Each One Will Vary),,,,AH3706,,,,
2026-08-30 12:15:56,151,Sale Line,,,,1.00000,28.99000,2.53663,0.00000,0.00000,31.52663,,Wood and Stainless Steel Cheese Grater,,,,AH0504,,,,
2026-08-30 12:15:56,151,Sale Line,,,,1.00000,24.99000,2.18663,0.00000,0.00000,27.17663,,Flower bowls set of 4,,,,DF6034,,,,
2026-08-30 12:15:56,151,Sale Line,,,,1.00000,27.99000,2.44913,0.00000,0.00000,30.43913,,"Food Safe Wood Board Wax, Beeswax and Coconut Oil, Rosemary and Sage",,,,REY600,,,,
2026-08-30 12:15:56,151,Sale Line,,,,1.00000,24.99000,2.18663,0.00000,0.00000,27.17663,,FOUND: Ceramic Pot,,,,10243,,,,
2026-08-30 12:15:56,151,Sale Line,,,,1.00000,3.99000,0.34913,0.00000,0.00000,4.33913,,1st Edition Notecards,,,,PP482,,,,
2026-08-30 12:15:56,151,Sale Line,,,,1.00000,3.99000,0.34913,0.00000,0.00000,4.33913,,Friendship Notecards - Assorted Set of 20,,,,PP423,,,,
2026-08-30 12:15:56,151,Sale Line,,,,1.00000,3.99000,0.34913,0.00000,0.00000,4.33913,,1st Edition Notecards,,,,PP482,,,,
2026-08-30 12:15:56,151,Sale Line,,,,1.00000,3.99000,0.34913,0.00000,0.00000,4.33913,,1st Edition Notecards,,,,PP482,,,,
2026-08-30 12:15:56,151,Sale Line,,,,1.00000,3.99000,0.34913,0.00000,0.00000,4.33913,,1st Edition Notecards,,,,PP482,,,,
2026-08-30 12:15:56,151,Sale Line,,,,1.00000,3.99000,0.34913,0.00000,0.00000,4.33913,,Friendship Notecards - Assorted Set of 20,,,,PP423,,,,
2026-08-30 12:15:56,151,Sale Line,,,,1.00000,3.99000,0.34913,0.00000,0.00000,4.33913,,1st Edition Notecards,,,,PP482,,,,
2026-08-30 12:15:56,151,Sale Line,,,,1.00000,3.99000,0.34913,0.00000,0.00000,4.33913,,1st Edition Notecards,,,,PP482,,,,
2026-08-30 12:15:56,151,Sale Line,,,,1.00000,3.99000,0.34913,0.00000,0.00000,4.33913,,1st Edition Notecards,,,,PP482,,,,
2026-08-30 12:15:46,151,Payment,,,,,,,,,,260.83000,Lightspeed Payments,,,,,,,,
